,_id,id_str,username,created_at,tweet,retweet_count,place,location,clean_tweets,len,Sentiment
0,5f41d7b10132c41028c76850,1297363646939426819,GpeDavila,Sun Aug 23 02:42:51 +0000 2020,"@lsalazar_xa @SergioSarmiento Belgica 861
Peru 831
España 617
Reino Unido 610
Italia 586
Suecia 575
Chile 564
USA 544
Brasil 537
Mexico 467",0,,,lsalazar xa sergiosarmiento belgica peru espa reino unido italia suecia chile usa brasil mexi,93,0
1,5f41d7b10132c41028c76852,1297363647677833216,kevinda19366854,Sun Aug 23 02:42:52 +0000 2020,RT @Thunder_Pantera: @guillier Costa Rica es muchísimo más neoliberal que #Chile. Allá jamás tendrían una Reforma Tributaria tan destructiv…,0,,"Santiago, Chile",thunder pantera guillier costa rica much simo m s neoliberal chile all jam s tendr an reforma tributaria tan destructiv,119,1
2,5f41d7b10132c41028c76854,1297363647770042368,j_arenal1,Sun Aug 23 02:42:52 +0000 2020,"RT @nymptw: Si alguna org necesita ya sabe 💜 super responsable 10/10

Ademas tambien hace coaching personalizado por si alguno necesita aiu…",0,,May the force be with you.,nymptw si alguna org necesita sabe super responsable ademas tambien hace aching personalizado si alguno necesita aiu,116,1
3,5f41d7b10132c41028c76856,1297363648059449345,Claudit78493136,Sun Aug 23 02:42:52 +0000 2020,RT @rioenlinea: Valdivia es la segunda ciudad con más humedales urbanos en Chile y la primera a nivel regional https://t.co/9gEfVWJ9GT #Val…,0,,,rioenlinea valdivia segunda ciudad n m s humedales urbanos chile primera nivel regional s t gefvwj gt val,105,0
4,5f41d7b20132c41028c76858,1297363650261520384,BelafontetheDon,Sun Aug 23 02:42:52 +0000 2020,Chile 😂😂😂 and they tryna bully us like “Do y’all want a freaky bitch or nah ?🙄💁🏾‍♀️” bitch 👁 🍠 fuckin FLABBERGASTED… https://t.co/eNYE72hdP2,0,,SC: Belafontedekid,chile and they tryna bully us like do all want freaky bitch or nah bitch fuckin flabbergasted s t enye hdp,106,0
5,5f41d7b20132c41028c7685a,1297363652878663682,William07035454,Sun Aug 23 02:42:53 +0000 2020,RT @pierrealee: Muy pronto volveremos a la calles. Parar para avanzar https://t.co/cbD5N52zHF #DuqueRenuncieYa,0,,,pierrealee pronto volveremos calles parar avanzar s t cbd n zhf duquerenuncieya,79,0
6,5f41d7b30132c41028c7685c,1297363657647587328,JClauFernandez,Sun Aug 23 02:42:54 +0000 2020,BILLETES DEL MUNDO: Chile https://t.co/w0i6D3KdAV,0,,BUENOS AIRES ARGENTINA,billetes mundo chile s t w i d kdav,35,0
7,5f41d7b30132c41028c7685e,1297363658612375552,PhantomF45,Sun Aug 23 02:42:54 +0000 2020,"RT @Asuperbia: Recoleta NO es la Comuna más transparente de Chile, por lo que el Comunicado Municipal por Cajas MIENTE. Daniel Jadue está a…",0,,,asuperbia re leta comuna m s transparente chile comunicado municipal cajas miente daniel jadue est,98,0
8,5f41d7b40132c41028c76860,1297363661011460098,JoseAnt51566620,Sun Aug 23 02:42:55 +0000 2020,"Al chile, mejor ni me hables",0,,,chile mejor hables,18,0
9,5f41d7b40132c41028c76862,1297363661367934976,AcueOficial,Sun Aug 23 02:42:55 +0000 2020,"RT @salmonresearch: “Chile has slapped a record $6.6 million fine on a Norwegian salmon producer for the 2018 escape of 690,000 antibiotic-…",0,,,salmonresearch chile slapped re rd million fine on norwegian salmon producer for the escape of antibiotic,105,1
10,5f41d7b40132c41028c76864,1297363661653147649,mavecchio,Sun Aug 23 02:42:55 +0000 2020,"RT @ManuelConecta: Recibí el video de un padre de familia el cual, luego de haber emigrado hacia Chile por necesidad, solicitaba una “torti…",0,,Venezuela,manuelconecta recib video padre familia luego haber emigrado hacia chile necesidad solicitaba to i,98,0
11,5f41d7b40132c41028c76866,1297363662710231041,MaEugeniaFuica,Sun Aug 23 02:42:55 +0000 2020,RT @PatriQta: El miedo cambia de bando!!! 👊  Acá estamos los de intelecto libre! Los que no se compran el discurso barato! Acá estamos los…,0,,"Santiago, Chile",patriqta miedo cambia bando ac intelecto libre mpran discurso barato ac,71,0
12,5f41d7b50132c41028c76868,1297363663985287170,juventinoquiroz,Sun Aug 23 02:42:56 +0000 2020,"RT @CicloviasCRA: ¿Se justifica limitar la RECREACIÓN al aire libre durante el confinamiento?

Este será el tema de este domingo 23/Ago en…",0,,Panamá,cicloviascra justifica limitar recreaci n aire libre nfinamiento ser tema domingo ago,85,0
13,5f41d7b50132c41028c7686a,1297363665008631808,edgalleguillos,Sun Aug 23 02:42:56 +0000 2020,22:42 Post en Chile https://t.co/kzjXtHIBp5,0,Chile,Santiago - Chile,post chile s t kzjxthibp,24,0
14,5f41d7b50132c41028c7686c,1297363665046450177,natigonzalez78,Sun Aug 23 02:42:56 +0000 2020,👏🏻👏🏻👏🏻,0,,Santiago Chile,,0,0
15,5f41d7b50132c41028c7686e,1297363666002681857,Esteban48207536,Sun Aug 23 02:42:56 +0000 2020,"#ESPNKnockOut  Saludos desde San Fernando ,Chile🇨🇱",0,,,espnknockout saludos san fernando chile,39,0
16,5f41d7b50132c41028c76870,1297363665956503552,luchopass1,Sun Aug 23 02:42:56 +0000 2020,"RT @Clauhiza: Qué  grande  mi viejo, 93 años, al ver a Piñera en la tv  grita ¡Es el peor presidente que ha tenido  Chile....igual a Pinoch…",0,,Metropolitana de Santiago,clauhiza qu grande viejo ver pi tv grita peor presidente chile igual pinoch,75,0
17,5f41d7b60132c41028c76872,1297363669584674816,naftikos7,Sun Aug 23 02:42:57 +0000 2020,RT @Yayi_preciosa: Estas son las famosas y macabras colas de los tiempos de la Unidad Popular en Chile.Una muestra para quienes no lo vivie…,0,,,yayi preciosa famosas macabras tiempos unidad popular chile muestra vivie,73,1
18,5f41d7b60132c41028c76874,1297363669685346305,Ashley4Wilx,Sun Aug 23 02:42:57 +0000 2020,RT @ekiloui: I’m stressed Chile 😩,0,,"Chicago, IL",ekiloui i m stressed chile,26,0
19,5f41d7b70132c41028c76876,1297363672206123008,alanmax127,Sun Aug 23 02:42:57 +0000 2020,"@LeProgresor @kikePea14 @ecapitan @ferdiazpoblete @elecciones_epch Mmm si en chile ya no hay ni derecha, los que ha… https://t.co/cio8XWwSh0",0,,Chile,leprogresor kikepea ecapitan ferdiazpoblete elecciones epch mmm si chile derecha s t cio xwwsh,94,0
20,5f41d7b70132c41028c76878,1297363673309224963,IsaNeira19,Sun Aug 23 02:42:58 +0000 2020,RT @ZanettiGerardo: Haciendo el viejo acto de Ponsio Pilatos lavándose las manos cuando los principales responsables de todo ésto son princ…,0,,,zanettigerardo haciendo viejo acto ponsio pilatos lav ndose manos principales responsables sto princ,100,0
21,5f41d7b80132c41028c7687a,1297363676987633666,juanfarias50,Sun Aug 23 02:42:59 +0000 2020,"RT @TuiterosDiestra: #RechazoGanaEnOctubre
Porque Chile no necesita una nueva Carta Magna. https://t.co/ZSGRfb3gT4",0,,"Quilicura, Chile",tuiterosdiestra rechazoganaenoctubre chile necesita nueva ca magna s t zsgrfb gt,80,0
22,5f41d7b80132c41028c7687c,1297363679118319618,emetedeme,Sun Aug 23 02:42:59 +0000 2020,"RT @clarincom: Piñera anunció la instalación de la red 5G: Chile será el primer país de Latinoamérica
https://t.co/HXy4ho5P88",0,,,clarin m pi anunci instalaci n red g chile ser primer pa s latinoam rica s t hxy ho p,85,0
23,5f41d7ba0132c41028c7687e,1297363687091712000,janecarvajal,Sun Aug 23 02:43:01 +0000 2020,RT @Edu_LaloJose: El mejor periodista en Chile por lejos es @DMatamala 👏🏻👏🏻👏🏻,0,,vivo en santiago de chile,edu lalojose mejor periodista chile lejos dmatamala,51,0
24,5f41d7bb0132c41028c76880,1297363689172017158,franktotti,Sun Aug 23 02:43:02 +0000 2020,"RT @sebaeyzaguirre7: Esta es la verdad.   Y aunque NO puedo revelar fuentes , es lo q realmente está pasando en Chile.  La quiere surfear y…",0,,"Santiago, Chile",sebaeyzaguirre verdad aunque puedo revelar fuentes q realmente est pasando chile quiere surfear,95,0
25,5f41d7bb0132c41028c76882,1297363690904313857,MAntonietavald2,Sun Aug 23 02:43:02 +0000 2020,"RT @mmccarquitecta: Y ahora saca la voz? hipócrita,el problema d la araucania llena d terroristas nacionales y extranjeros viene hace años…",0,,,mmccarquitecta ahora saca voz hip crita problema d araucania llena d terroristas nacionales extranjeros viene hace,114,0
26,5f41d7bc0132c41028c76884,1297363692762337280,banzona1,Sun Aug 23 02:43:02 +0000 2020,"JAMAS SE NEGOCIA CON TERRORISTAS

SE LES COMBATE! 

UNA CHILE LIBRE Y SOBERANO

DIOS, PATRIA Y FAMILIA 🇨🇱

8",0,,Chile,jamas negocia terroristas combate chile libre soberano dios patria familia,74,0
27,5f41d7bd0132c41028c76886,1297363697053171712,Jeka56678577,Sun Aug 23 02:43:03 +0000 2020,"RT @rodolfopereze: El Senador Girardi, narcotráfico y la relación que él hace con el 10% más rico de Chile, la interpelación final de Julio…",0,,Chile,rodolfopereze senador girardi nar tr fi relaci n l hace n m s ri chile interpelaci n final julio,96,0
