,_id,id_str,created_at,tweet,location,localizacion,clean_tweets,len,fecha,region,id_region,traduccion,valoracion_manual,grupo_clave
0,5f6a5f79df36abf4cbaec2cf,1308504558939897856,Tue Sep 22 20:32:52 +0000 2020,"RT @PaoladrateleSUR: El Presidente Piñera señala en su intervención en Naciones Unidas, que el mundo debe unirse en torno al Libre Mercado,…",Chile,Chile,paoladratelesur presidente pi ala intervenci n naciones unidas mundo debe unirse torno libre mercado,100,22-9-2020,No Especifíca,17,paoladratelesur president pi wing intervention united nations world must unite around free market,Positivo,Otro Grupo
1,5f6a5f7ddf36abf4cbaec2d8,1308504575444496396,Tue Sep 22 20:32:56 +0000 2020,"@danieljadue Medio ambiente!!!! Mejor solucione el basural de su comuna, después de eso recién opine del medio ambiente.",Chile,Chile,danieljadue medio ambiente mejor solucione basural muna despu s reci n opine medio ambiente,91,22-9-2020,No Especifíca,17,danieljadue environment better solve landfill muna later just think environment,Positivo,Medio Ambiente
2,5f6a5f86df36abf4cbaec2f3,1308504613650345987,Tue Sep 22 20:33:05 +0000 2020,"RT @danieljadue: Es un bochorno internacional que el gobierno de Chile se niegue nuevamente a firmar el acuerdo de Escazú, el cual busca re…","Santiago, Chile",Chile,danieljadue bochorno internacional gobierno chile niegue nuevamente firmar acuerdo escaz busca re,97,22-9-2020,RM Metropolitana,13,danieljadue international embarrassment chilean government refuses again to sign agreement shortage seeks re,Neutro,Otro Grupo
3,5f6a5f92df36abf4cbaec30f,1308504664342761477,Tue Sep 22 20:33:17 +0000 2020,RT @ceballos_bravo: La ministra @CarolaSchmidtZ no quiere que se firme #Escazu por la incertidumbre que generaría. Acaso puede haber más in…,vivo en santiago de chile,Chile,ceballos bravo ministra carolaschmidtz quiere firme escazu ince idumbre generar acaso puede haber m s in,104,22-9-2020,RM Metropolitana,13,brave ceballos minister carolaschmidtz wants firm escazu uncertainty generate perhaps there may be more in,Neutro,Otro Grupo
4,5f6a5f92df36abf4cbaec311,1308504664451813376,Tue Sep 22 20:33:17 +0000 2020,RT @carmen_hertz: La argumentos entregados por @allmand y Ministra Medio Ambiente para no suscribir #Escazu  en Comisión RREE son jurídicam…,Santiago de Chile,Chile,carmen z argumentos entregados allmand ministra medio ambiente suscribir escazu comisi n rree jur dicam,103,22-9-2020,RM Metropolitana,13,carmen z arguments delivered allmand minister of the environment subscribe escazu commission rree jur dicam,Neutro,Medio Ambiente
5,5f6a5f9cdf36abf4cbaec326,1308504704729722881,Tue Sep 22 20:33:27 +0000 2020,RT @EscazuAhoraCl: La Constitución declara el derecho a vivir en un ambiente libre de contaminación ¿qué le diría a los padres de los niños…,vivo en santiago de chile,Chile,escazuahoracl constituci n declara derecho vivir ambiente libre ntaminaci n qu dir padres,89,22-9-2020,RM Metropolitana,13,escazuahoracl constitution declares right to live environment free pollution what to say parents,Positivo,Contaminación
6,5f6a5facdf36abf4cbaec348,1308504772278968320,Tue Sep 22 20:33:43 +0000 2020,RT @carmen_hertz: La argumentos entregados por @allmand y Ministra Medio Ambiente para no suscribir #Escazu  en Comisión RREE son jurídicam…,Santiago-Chile,Chile,carmen z argumentos entregados allmand ministra medio ambiente suscribir escazu comisi n rree jur dicam,103,22-9-2020,RM Metropolitana,13,carmen z arguments delivered allmand minister of the environment subscribe escazu commission rree jur dicam,Neutro,Medio Ambiente
7,5f6a5fbfdf36abf4cbaec36a,1308504852616474624,Tue Sep 22 20:34:02 +0000 2020,¿Cuál es el panorama actual de la industria del Social Media Marketing? - Puro Marketing https://t.co/PNVMccRmCR,Santiago de Chile,Chile,cu l panorama actual industria social media marketing puro marketing s t pnvmccrmcr,83,22-9-2020,RM Metropolitana,13,cu l panorama actual social media marketing marketing pure marketing s t pnvmccrmcr,Neutro,Industrias
8,5f6a5fc2df36abf4cbaec376,1308504866638254080,Tue Sep 22 20:34:05 +0000 2020,@SindAustral @sindicatoccu @SindicatoPlasco @rodrigooyarzun @kikelizanai @cpando12 @Nino_Mundaca @Fernand63902799… https://t.co/uVNTu0huBq,Chile,Chile,sindaustral sindicatoccu sindicatoplas rodrigooyarzun kikelizanai cpando nino mundaca fernand s t uvntu hubq,108,22-9-2020,No Especifíca,17,sindaustral sindicatoccu sindicatoplas rodrigooyarzun kikelizanai cpando nino mundaca fernand s t uvntu hubq,Neutro,Otro Grupo
9,5f6a5fc5df36abf4cbaec37b,1308504878935937032,Tue Sep 22 20:34:08 +0000 2020,"RT @danieljadue: Es un bochorno internacional que el gobierno de Chile se niegue nuevamente a firmar el acuerdo de Escazú, el cual busca re…",Chile,Chile,danieljadue bochorno internacional gobierno chile niegue nuevamente firmar acuerdo escaz busca re,97,22-9-2020,No Especifíca,17,danieljadue international embarrassment chilean government refuses again to sign agreement shortage seeks re,Neutro,Otro Grupo
10,5f6a5fcddf36abf4cbaec390,1308504909583654912,Tue Sep 22 20:34:15 +0000 2020,"RT @dw_espanol: #México implementará un sistema de etiquetado con advertencias para productos que contengan mucho #azúcar, sodio u otros co…",Chilezuela,Chile,dw espanol m xi implementar sistema etiquetado n adve encias productos ntengan az car sodio u,93,22-9-2020,No Especifíca,17,dw espanol m xi implement labeling system n adve encias products n have sodium sugar u,Neutro,Otro Grupo
11,5f6a5fd6df36abf4cbaec3a7,1308504950381707266,Tue Sep 22 20:34:25 +0000 2020,"El análisis de nuestro inefable presidente, por parte de una académica de reconocida trayectoria 👎👎👎","Santiago, Chile",Chile,an lisis inefable presidente pa acad mica re nocida trayectoria,63,22-9-2020,RM Metropolitana,13,an ineffable analysis president pa academica recognized trajectory,Neutro,Otro Grupo
12,5f6a5fd7df36abf4cbaec3aa,1308504953787420677,Tue Sep 22 20:34:26 +0000 2020,"RT @lingandmol: Si @CarolaSchmidtZ no presiona para que @sebastianpinera firme el #AcuerdoDeEscazú, simplemente el cargo de ministra de Med…","Santiago,Chile",Chile,lingandmol si carolaschmidtz presiona sebastianpinera firme acuerdodeescaz simplemente cargo ministra med,105,22-9-2020,RM Metropolitana,13,lingandmol if carolaschmidtz presses sebastianpinera firm agreementdeescaz simply position minister med,Neutro,Otro Grupo
13,5f6a5fe1df36abf4cbaec3ba,1308504992945524736,Tue Sep 22 20:34:35 +0000 2020,RT @womeninmotion_: En el #DíaMundialSinAuto pongámonos una meta: ¡Ciudades con equidad de género y respeto al medio ambiente! #CarFreeDay2…,Santiago de Chile,Chile,womeninmotion d amundialsinauto pong monos meta ciudades n equidad g nero respeto medio ambiente carfreeday,107,22-9-2020,RM Metropolitana,13,womeninmotion d amundialsinauto pong monkeys goal cities n equity g nero respect environment carfreeday,Neutro,Medio Ambiente
14,5f6a5fe4df36abf4cbaec3c3,1308505005645758466,Tue Sep 22 20:34:38 +0000 2020,"RT @ccu_federacion: Chile Trabajador. ¿Es la industria parte del Modelo de Desarrollo de Chile? 
Miércoles 23 S, 16 horas, en programa radi…",Chile,Chile,ccu federacion chile trabajador industria pa modelo desarrollo chile r s horas programa radi,92,22-9-2020,No Especifíca,17,ccu federation chile worker industry pa model development chile r s hours radio program,Neutro,Industrias
15,5f6a5ff3df36abf4cbaec3dc,1308505069197852672,Tue Sep 22 20:34:54 +0000 2020,"RT @doctor911_cl: Por nuestro país, su naturaleza y nuestro compromiso con nuestro propio medio ambiente...! 
#PiñeraFirmaEscazu https://t.…",Chile post 18-O,Chile,doctor cl pa s naturaleza mpromiso n propio medio ambiente pi erafirmaescazu s t,80,22-9-2020,No Especifíca,17,doctor cl pa s nature m commitment n own environment pi erafirmaescazu s t,Neutro,Medio Ambiente
16,5f6a5ff5df36abf4cbaec3e6,1308505079612399616,Tue Sep 22 20:34:56 +0000 2020,"RT @danieljadue: Es un bochorno internacional que el gobierno de Chile se niegue nuevamente a firmar el acuerdo de Escazú, el cual busca re…","Concepción, Chile",Chile,danieljadue bochorno internacional gobierno chile niegue nuevamente firmar acuerdo escaz busca re,97,22-9-2020,VIII Bíobío,8,danieljadue international embarrassment chilean government refuses again to sign agreement shortage seeks re,Neutro,Otro Grupo
17,5f6a5ffddf36abf4cbaec3fd,1308505111442972680,Tue Sep 22 20:35:04 +0000 2020,"RT @f3ll3y: Carabineros concurre a verificar denuncia hecha por el werken de Llanquihue, sobre destrucción de bosque nativo por parte de in…","Concepción, Chile",Chile,f ll carabineros ncurre verificar denuncia hecha werken llanquihue destrucci n bosque nativo pa in,98,22-9-2020,VIII Bíobío,8,f ll carabineros ncurre verify complaint made werken llanquihue destruction native forest pa in,Negativo,Bosques
18,5f6a6002df36abf4cbaec405,1308505131869179906,Tue Sep 22 20:35:08 +0000 2020,"Aportes en sanidad vegetal, cambio climático y agro 4.0 presentará INIA en Expo Chile Agrícola, evento que este año… https://t.co/pjJH6OZKlm","Santiago, Chile",Chile,apo sanidad vegetal cambio clim agro presentar inia expo chile agr evento s t pjjh ozklm,88,22-9-2020,RM Metropolitana,13,apo plant health climate change agro present inia expo chile agr event s t pjjh ozklm,Neutro,Cambio Climático
19,5f6a6007df36abf4cbaec415,1308505153587290114,Tue Sep 22 20:35:14 +0000 2020,"Estaba comprando un jockey y era talla unisex (54-58 cm de diámetro). Mi cabeza mide 61 cm. 

La industria de los g… https://t.co/znCoYCIeDx","Santiago,Chile.",Chile,mprando jockey talla unisex cm di metro cabeza mide cm industria g s t zncoyciedx,81,22-9-2020,RM Metropolitana,13,mprando jockey unisex size cm di meter head measures cm industry g s t zncoyciedx,Neutro,Industrias
20,5f6a600adf36abf4cbaec41d,1308505165776007171,Tue Sep 22 20:35:17 +0000 2020,@BaronHumbertVon Son tratados multinacionales que le quitan soberanía al país. Para proteger el medio ambiente se n… https://t.co/d73o4sLZOK,"Santiago, Chile",Chile,baronhumbe von tratados multinacionales quitan soberan pa s proteger medio ambiente n s t d slzok,97,22-9-2020,RM Metropolitana,13,baronhumbe von multinational treaties remove sovereignty country protect environment n s t d slzok,Neutro,Medio Ambiente
21,5f6a600ddf36abf4cbaec42a,1308505179151568896,Tue Sep 22 20:35:20 +0000 2020,RT @carmen_hertz: La argumentos entregados por @allmand y Ministra Medio Ambiente para no suscribir #Escazu  en Comisión RREE son jurídicam…,"Santiago,Chile",Chile,carmen z argumentos entregados allmand ministra medio ambiente suscribir escazu comisi n rree jur dicam,103,22-9-2020,RM Metropolitana,13,carmen z arguments delivered allmand minister of the environment subscribe escazu commission rree jur dicam,Neutro,Medio Ambiente
22,5f6a6015df36abf4cbaec438,1308505213721030656,Tue Sep 22 20:35:28 +0000 2020,"Aportes en sanidad vegetal, cambio climático y agro 4.0 presentará INIA en Expo Chile Agrícola, evento que este año… https://t.co/3ChK97TTfH",santiago de chile,Chile,apo sanidad vegetal cambio clim agro presentar inia expo chile agr evento s t chk ttfh,86,22-9-2020,RM Metropolitana,13,apo plant health climate change agro present inia expo chile agr event s t chk ttfh,Neutro,Cambio Climático
23,5f6a6034df36abf4cbaec480,1308505342763040773,Tue Sep 22 20:35:59 +0000 2020,"RT @radiousach: 🎙#AllYouNeedIsLAB:

Considerando que el 58% de los residuos de los hogares son orgánicos, el Ministerio del Medio Ambiente…",Chile,Chile,radiousach allyouneedislab considerando residuos hogares org s ministerio medio ambiente,88,22-9-2020,No Especifíca,17,radiousach allyouneedislab considering household waste org s ministry of environment,Neutro,Medio Ambiente
24,5f6a603edf36abf4cbaec493,1308505384328589312,Tue Sep 22 20:36:09 +0000 2020,RT @EscazuAhoraCl: Dicho proyecto hidroeléctrico provocó un gran impacto ambiental y territorial: significó la tala de bosques nativos y la…,"Santiago, Chile",Chile,escazuahoracl dicho proyecto hidroel ctri provoc gran impacto ambiental territorial signific tala bosques nativos,113,22-9-2020,RM Metropolitana,13,"Escazuahoracl said hydroel ctri project caused a great territorial environmental impact, it meant cutting down native forests",Positivo,Bosques
25,5f6a604edf36abf4cbaec4b1,1308505454188916738,Tue Sep 22 20:36:25 +0000 2020,"RT @doctor911_cl: Por nuestro país, su naturaleza y nuestro compromiso con nuestro propio medio ambiente...! 
#PiñeraFirmaEscazu https://t.…","Santiago, Chile",Chile,doctor cl pa s naturaleza mpromiso n propio medio ambiente pi erafirmaescazu s t,80,22-9-2020,RM Metropolitana,13,doctor cl pa s nature m commitment n own environment pi erafirmaescazu s t,Neutro,Medio Ambiente
